clause,section,page,source_pdf
"32 The Maharashtra Rent Control Act, 1999 [2000 : Mah. XVIII
SCHEDULE I
[See section 2 (2)]
[Areas to which the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (Bom.
LVII of 1947) or the Central Provinces and Berar Letting of Houses and Rent Control Order, 1949
issued under the Central Provinces and Berar Regulation of Letting of Accommodation Act, 1946
(C. P. and Berar Act No. XI of 1946), or the Hyderabad Houses (Rent, Eviction and Lease) Control
Act, 1954 (Hyd. Act No. XX of 1954) were extended before the commencement of the Maharashtra
Rent Control Act, 1999 (Mah. XVIII of 2000); and to which now the Maharashtra Act. No. XVIII of
2000 applies].
Serial No Name of the Area
(1) (2)
PART I
1 Brihan Mumbai Municipal Corporation.
Thane District—
1 Thane Municipal Corporation.
2 Kalyan Municipal Corporation.
3 Ambarnath Municipal Council.
4 Vasai Municipal Council.
5 Virar Municipal Council.
6 Bhivandi-Nijampur Municipal Council.
7 Dahanu Municipal Council.
8 Ulhasnagar Muni",Section 2,32,eng_maharashtra_rent_control_ac.pdf
"2000: Mah. XVIII] The Maharashtra Rent Control Act, 1999 33
(1) (2)
22 Wada.
23 Nargad Village.
24 Malyan.
25 Masoli.
26 Vangaon Village.
27 Bordi Village.
28 Gholvad Village.
29 Kahoj-Kuthvali Village.
30 Chinchni Village.
31 Padgha Village.
32 Shahapur Village.
33 Murbad.
34 Boisar.
35 Khatalwada Village.
36 Nargol Village.
37 Shirgaon Village.
38 Umberpada Nanded Village.
39 Khardi Village (Taluka Shahapur).
40 Kulgaon Village (Taluka Kalyan).
41 Manda Village (Taluka Kalyan).
42 Gaj Bandhan Partharli Village (Taluka Kalyan).
43 Agashi (Taluka Bassein).
44 Arnala (Taluka Bassein).
45 Nilmore (Taluka Bassein).
46 Mohane Village (Taluka Kalyan).
47 Tarapur Village (Taluka Palghar).
48 Bolinj Village (Taluka Bassein).
49 Sopara Village (Taluka Bassein).
50 Katemanivali Village (Taluka Kalyan).
51 Washind Village (Taluka Shahapur).
52 Devanman Village (Taluka Bassein).
53 Belapur Village Panchayat (Taluka Thane).",Section 2,33,eng_maharashtra_rent_control_ac.pdf
"34 The Maharashtra Rent Control Act, 1999 [2000 : Mah. XVIII
(1) (2)
54 Kasara Village (Taluka Shahapur).
55 Majivada Grampanchayat (Taluka Thane).
56 Tulunj Umarale Nale and Naigaon Village (Taluka Bassein).
57 Kelva Road Village (Taluka Palghar).
58 Vangaon Village (Taluka Dahanu).
59 Saravali Village (Taluka Palghar).
60 Achole, Waghod, Nirmal.
61 Malegaon (Kochiwade).
62 Vadavali (Pali) Village (Taluka Bassein).
63 Gokhivara Village (Taluka Bassein).
Raigad District —
1 Alibag Municipal Council.
2 Mahad Municipal Council.
3 Panvel Municipal Council.
4 Pen Municipal Council.
5 Roha Municipal Council.
6 Uran Municipal Council.
7 Khopoli Municipal Council.
8 Srivardhan Municipal Council.
9 Murud-Janjira Municipal Council.
10 Matheran Municipal Council.
11 Karjat Municipal Council.
12 Neral Village.
13 Poladpur Village.
14 Dahivali Village.
15 Pali Village.
16 Revdanda Village.
17 Poinad Village.
18 Taloja Pachnand.
19 Mhasla Village.
20 Karanja Village.
21 Samuha Grampanchayat Chowk.",Section 2,34,eng_maharashtra_rent_control_ac.pdf
"2000: Mah. XVIII] The Maharashtra Rent Control Act, 1999 35
(1) (2)
22 Devlad, Bhanvaj, Rahatvad, Vihari.
23 Shil, Bhulegaon Budruk, Varsetarhe-Vasrange and Katrang Village.
Villages in Samuha Grampanchayat Village- Karjat, Bhisegaon, Mundre Khurd,
24
Mundre Budruk and Gunde.
Ratnagiri District —
1 Ratnagiri Municipal Council.
2 Chiplun Municipal Council.
3 Khed Municipal Council.
4 Rajapur Municipal Council.
5 Deorukh (Taluka-Sangameshwar).
6 Lanja (Taluka-Lanja).
7 Guhagar (Taluka-Guhagar).
8 Dapoli.
9 Sangameshwar.
10 Makhjan (Taluka-Sangameshwar).
11 Nawadi (Taluka-Sangameshwar).
12 Dabhol (Dapoli).
13 Durgawadi (Taluka-Chiplun).
Sindhudurga District —
1 Malwan Municipal Council.
2 Vengurla Municipal Council.
3 Sawantwadi Municipal Council.
4 Kankawali (Taluka-Kankawali).
5 Kudal (Taluka-Kudal).
6 Deobag (Taluka-Malwan)
Nashik District —
1 Nashik Municipal Corporation.
2 Malegaon Municipal Council.
3 Igatpuri Municipal Council.
4 Nandgaon Municipal Council.
5 Sinnar Municipal Counc",Section 2,35,eng_maharashtra_rent_control_ac.pdf
"36 The Maharashtra Rent Control Act, 1999 [2000 : Mah. XVIII
(1) (2)
6 Manmad Municipal Council.
7 Yewala Municipal Council.
8 Trimbak Municipal Council.
9 Bhagur Municipal Council.
10 Satana Municipal Council.
11 Pimpalgaon Busawantagaon.
12 Lasalgaon (Taluka Lasalgaon).
13 Chandorgaon (Taluka Nandagaon).
14 Kalwan Municipal Council.
15 Ozergaon Municipal Council.
16 Ghotigaon (Igatpuri Taluka).
17 Niphad City and Kasabe, Sukene, Mouje Shukene and Kundawadi Villages.
Dhule District —
1 Dhule Municipal Council.
2 Nandurbar Municipal Council.
3 Shahada Municipal Council.
4 Shirpur Varvade Municipal Council.
5 Dondaicha Varvade Municipal Council.
6 Taloda Municipal Council.
7 Navapur (Taluka Navapur).
8 Sindhakheda (Taluka Sindhakheda).
9 Sakri (Taluka Sakri).
Jalgaon District—
1 Jalgaon Municipal Council.
2 Bhusawal Municipal Council.
3 Amalner Municipal Council.
4 Chalisgaon Municipal Council.
5 Pachora Municipal Council.
6 Chopada Municipal Council.
7 Yawal Municipal Council.
8 Rawer ",Section 2,36,eng_maharashtra_rent_control_ac.pdf
"2000: Mah. XVIII] The Maharashtra Rent Control Act, 1999 37
(1) (2)
9 Sawada Municipal Council.
10 Faijpur Municipal Council.
11 Parola Municipal Council.
12 Dharangaon Municipal Council.
13 Bhadgaon.
14 Shenduraigaon.
Ahmednagar District —
1 Ahmednagar Municipal Council.
2 Sangamner Municipal Council.
3 Kopargaon Municipal Council.
4 Shrirampur Municipal Council.
5 Akola Village.
6 Rahata Village (Taluka Kopargaon).
7 Shirdi Village (Taluka Kopargaon).
Pune District —
1 Pune Municipal Corporation.
2 Pimpari-Chinchawad Municipal Corporation.
3 Lonawala Municipal Council.
4 Baramati Municipal Council.
5 Shirur Municipal Council.
6 Talegaon-Dabhade Municipal Council.
7 Bhor Municipal Council.
8 Daund Municipal Council.
9 Dehu Municipal Council.
10 Kinhai.
11 Kiwade.
12 Chikhali.
13 Nigadi.
14 Phulwada.
Satara District —
1 Satara Municipal Council.",Section 2,37,eng_maharashtra_rent_control_ac.pdf
"38 The Maharashtra Rent Control Act, 1999 [2000 : Mah. XVIII
(1) (2)
2 Karad Municipal Council.
3 Panchgani Municipal Council.
4 Mahableshwar Municipal Council.
5 Vai Municipal Council.
6 Phaltan Municipal Council.
Sangli District—
1 Sangli-Miraj-Kupwad Municipal Corporation.
2 Tasgaon Municipal Council.
3 Vita Municipal Council.
4 Islampur Municipal Council.
5 Madhav Nagar (Taluka Miraj).
6 Ogalewadi.
7 Sadashivgad.
Solapur District —
1 Solapur Municipal Corporation.
2 Barshi Municipal Council.
3 Pandharpur Municipal Council.
4 Karmala Municipal Council.
5 Sangola Municipal Council.
6 Kurduwadi Municipal Council.
7 Akkallot Municipal Council.
8 Mangalveda Municipal Council.
9 Madha.
10 Mahol.
11 Malshiras (Taluka Malshiras).
12 Takali (Tembhurni) (Taluka Madha).
13 Akluj (Taluka Malshiras).
14 Vairag (Taluka Barshi).
15 Salgar (Taluka Akkalkot).
Kolhapur District —
1 Kolhapur Municipal Corporation.",Section 2,38,eng_maharashtra_rent_control_ac.pdf
"2000: Mah. XVIII] The Maharashtra Rent Control Act, 1999 39
(1) (2)
2 Ichalkaranji Municipal Council.
3 Jaisingpur Municipal Council.
4 Gadhinglaj Municipal Council.
5 Kagal Municipal Council.
PART II
1 Aurangabad Municipal Corporation.
2 Nanded–Waghala Municipal Corporation.
3 Beed Municipal Council
4 Parbhani Municipal Council
5 Osmanabad Municipal Council
6 Jalna Municipal Council.
7 Parli-Baijnath Municipal Council
8 Hingoli Municipal Council.
9 Dharmabad Municipal Council.
10 Sailu Municipal Council.
11 Purna Municipal Council.
12 Latur Municipal Council.
13 Mominabad Municipal Council.
PART III
Amravati District —
1 Amravati Municipal Corporation.
2 Achalpur Municipal Council.
3 Anjangaon Surji Municipal Council.
4 Chandur Bazar Municipal Council.
5 Dhamangaon Village Municipal Council.
6 Shendurjana Municipal Council.
7 Chikhaldara Municipal Council.
8 Morshi Municipal Council.
9 Warud Municipal Council.
10 Daryapur Municipal Council.
11 Chandur Railway Municipal Council.",Section 2,39,eng_maharashtra_rent_control_ac.pdf
"40 The Maharashtra Rent Control Act, 1999 [2000 : Mah. XVIII
(1) (2)
Buldhana District—
1 Buldhana Municipal Council.
2 Khamgaon Municipal Council.
3 Malkapur Municipal Council.
4 Shegaon Municipal Council.
5 Jalgaon-Jamod Municipal Council.
6 Mehekar Municipal Council.
7 Chikhli Municipal Council.
8 Deolgaon Raja Municipal Council.
9 Sindhkhed Raja Municipal Council.
10 Lonar Municipal Council.
Akola District —
1 Akola Municipal Council.
2 Akot Municipal Council.
3 Karanja Municipal Council.
4 Washim Municipal Council.
5 Murtzapur Municipal Council.
6 Balapur Municipal Council.
7 Telhara Municipal Council.
8 Patur Municipal Council.
9 Manglurpeer Municipal Council.
10 Risod Municipal Council
Yavatmal District —
1 Yavatmal Municipal Council.
2 Wani Municipal Council.
3 Pusad Municipal Council.
4 Darwha Municipal Council.
5 Umarkhed Municipal Council.
6 Ghatanji Municipal Council.
7 Pandhar Kavada Municipal Council
8 Digras Municipal Council.",Section 2,40,eng_maharashtra_rent_control_ac.pdf
"2000: Mah. XVIII] The Maharashtra Rent Control Act, 1999 41
(1) (2)
Nagpur District —
1 Nagpur Municipal Corporation.
2 Khapa Municipal Council.
3 Kamathi Municipal Council.
4 Umred Municipal Council.
5 Kalameshwar Municipal Council.
6 Savner Municipal Council.
7 Mowad Municipal Council.
8 Katol Municipal Council.
9 Narkhed Municipal Council.
10 Mohapa Municipal Council.
11 Ramtek Municipal Council.
Wardha District—
1 Wardha Municipal Council.
2 Hinganghat Municipal Council.
3 Deoli Municipal Council.
4 Sindi Municipal Council.
5 Arvi Municipal Council.
6 Pulgaon Municipal Council.
Bhandara District—
1 Bhandara Municipal Council.
2 Gondiya Municipal Council.
3 Tumsar Municipal Council.
4 Pauni Municipal Council.
5 Tirora Municipal Council.
Chandrapur District—
1 Chandrapur Municipal Council.
2 Warora Municipal Council.
3 Ballarpur Municipal Council.
4 Mul Municipal Council.
5 Brahmapuri Municipal Council.",Section 2,41,eng_maharashtra_rent_control_ac.pdf
"42 The Maharashtra Rent Control Act, 1999 [2000 : Mah. XVIII
(1) (2)
Gadchiroli District—
1 Gadchiroli Municipal Council.
2 Desaiganj Municipal Council.
PART IV
Cantonments—
1 Pune Cantonments.
2 Kirkee Cantonments.
3 Ahmednagar Cantonments.
4 Deolali Cantonments.
5 Kamtee Cantonments.
6 Aurangabad Cantonments.
7 Dehuroad Cantonments.",Section 2,42,eng_maharashtra_rent_control_ac.pdf
"2000: Mah. XVIII] The Maharashtra Rent Control Act, 1999 43
SCHEDULE II
[See section 2 (3)]
(Area to which the Maharashtra Rent Control Act, 1999 applies)
Serial Name of Population of Name of the district in
the area which the
No. the area
said area is included
(1) (2) (3) (4)
1 Navi Mumbai 3,07,297 Thane",Section 2,43,eng_maharashtra_rent_control_ac.pdf
